run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-13-20200611-17:03:09-4436,param,,,**.lambda,2ms,,,,,,,
General-13-20200611-17:03:09-4436,param,,,**.successProbGroup1,0.15,,,,,,,
General-13-20200611-17:03:09-4436,param,,,**.successProbGroup2,0,,,,,,,
General-13-20200611-17:03:09-4436,param,,,**.successProbGroup3,0.85,,,,,,,
General-13-20200611-17:03:09-4436,param,,,**.isBinomial,true,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,configname,General,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,datetime,20200611-17:03:03,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,experiment,General,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,inifile,omnetpp.ini,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,iterationvars,$0=2ms,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,iterationvarsf,2ms-,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,measurement,$0=2ms,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,network,CellularNetwork,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,processid,2904,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,repetition,12,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,replication,#12,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,resultdir,results,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,runnumber,12,,,,,,,
General-12-20200611-17:03:03-2904,runattr,,,seedset,12,,,,,,,
General-12-20200611-17:03:03-2904,param,,,**.nUsers,10,,,,,,,
General-12-20200611-17:03:03-2904,param,,,**.timeslot,1ms,,,,,,,
General-12-20200611-17:03:03-2904,param,,,**.lambda,2ms,,,,,,,
General-12-20200611-17:03:03-2904,param,,,**.successProbGroup1,0.15,,,,,,,
General-12-20200611-17:03:03-2904,param,,,**.successProbGroup2,0,,,,,,,
General-12-20200611-17:03:03-2904,param,,,**.successProbGroup3,0.85,,,,,,,
General-12-20200611-17:03:03-2904,param,,,**.isBinomial,true,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,configname,General,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,datetime,20200611-17:03:42,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,experiment,General,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,inifile,omnetpp.ini,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,iterationvars,$0=2ms,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,iterationvarsf,2ms-,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,measurement,$0=2ms,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,network,CellularNetwork,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,processid,8632,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,repetition,20,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,replication,#20,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,resultdir,results,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,runnumber,20,,,,,,,
General-20-20200611-17:03:42-8632,runattr,,,seedset,20,,,,,,,
General-20-20200611-17:03:42-8632,param,,,**.nUsers,10,,,,,,,
General-20-20200611-17:03:42-8632,param,,,**.timeslot,1ms,,,,,,,
General-20-20200611-17:03:42-8632,param,,,**.lambda,2ms,,,,,,,
General-20-20200611-17:03:42-8632,param,,,**.successProbGroup1,0.15,,,,,,,
General-20-20200611-17:03:42-8632,param,,,**.successProbGroup2,0,,,,,,,
General-20-20200611-17:03:42-8632,param,,,**.successProbGroup3,0.85,,,,,,,
General-20-20200611-17:03:42-8632,param,,,**.isBinomial,true,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,configname,General,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,datetime,20200611-17:03:47,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,experiment,General,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,inifile,omnetpp.ini,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,iterationvars,$0=2ms,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,iterationvarsf,2ms-,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,measurement,$0=2ms,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,network,CellularNetwork,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,processid,12172,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,repetition,21,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,replication,#21,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,resultdir,results,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,runnumber,21,,,,,,,
General-21-20200611-17:03:47-12172,runattr,,,seedset,21,,,,,,,
General-21-20200611-17:03:47-12172,param,,,**.nUsers,10,,,,,,,
General-21-20200611-17:03:47-12172,param,,,**.timeslot,1ms,,,,,,,
General-21-20200611-17:03:47-12172,param,,,**.lambda,2ms,,,,,,,
General-21-20200611-17:03:47-12172,param,,,**.successProbGroup1,0.15,,,,,,,
General-21-20200611-17:03:47-12172,param,,,**.successProbGroup2,0,,,,,,,
