run,type,module,name,attrname,attrvalue,value
General-2-20200127-16:40:16-12844,param,,,**.nUsers,10,
General-2-20200127-16:40:16-12844,param,,,**.antenna.timeslot,1ms,
General-2-20200127-16:40:16-12844,param,,,**.antenna.lambda,2ms,
General-2-20200127-16:40:16-12844,param,,,**.antenna.successProbGroup1,0.2,
General-2-20200127-16:40:16-12844,param,,,**.antenna.successProbGroup2,0.5,
General-2-20200127-16:40:16-12844,param,,,**.antenna.successProbGroup3,0.9,
General-2-20200127-16:40:16-12844,param,,,**.antenna.isBinomial,true,
General-20-20200127-16:42:03-17396,runattr,,,configname,General,
General-20-20200127-16:42:03-17396,runattr,,,datetime,20200127-16:42:03,
General-20-20200127-16:42:03-17396,runattr,,,experiment,General,
General-20-20200127-16:42:03-17396,runattr,,,inifile,omnetpp.ini,
General-20-20200127-16:42:03-17396,runattr,,,iterationvars,,
General-20-20200127-16:42:03-17396,runattr,,,iterationvarsf,,
General-20-20200127-16:42:03-17396,runattr,,,measurement,,
General-20-20200127-16:42:03-17396,runattr,,,network,CellularNetwork,
General-20-20200127-16:42:03-17396,runattr,,,processid,17396,
General-20-20200127-16:42:03-17396,runattr,,,repetition,20,
General-20-20200127-16:42:03-17396,runattr,,,replication,#20,
General-20-20200127-16:42:03-17396,runattr,,,resultdir,results,
General-20-20200127-16:42:03-17396,runattr,,,runnumber,20,
General-20-20200127-16:42:03-17396,runattr,,,seedset,20,
General-20-20200127-16:42:03-17396,param,,,**.nUsers,10,
General-20-20200127-16:42:03-17396,param,,,**.antenna.timeslot,1ms,
General-20-20200127-16:42:03-17396,param,,,**.antenna.lambda,2ms,
General-20-20200127-16:42:03-17396,param,,,**.antenna.successProbGroup1,0.2,
General-20-20200127-16:42:03-17396,param,,,**.antenna.successProbGroup2,0.5,
General-20-20200127-16:42:03-17396,param,,,**.antenna.successProbGroup3,0.9,
General-20-20200127-16:42:03-17396,param,,,**.antenna.isBinomial,true,
General-37-20200127-16:43:49-8576,runattr,,,configname,General,
General-37-20200127-16:43:49-8576,runattr,,,datetime,20200127-16:43:49,
General-37-20200127-16:43:49-8576,runattr,,,experiment,General,
General-37-20200127-16:43:49-8576,runattr,,,inifile,omnetpp.ini,
General-37-20200127-16:43:49-8576,runattr,,,iterationvars,,
General-37-20200127-16:43:49-8576,runattr,,,iterationvarsf,,
General-37-20200127-16:43:49-8576,runattr,,,measurement,,
General-37-20200127-16:43:49-8576,runattr,,,network,CellularNetwork,
General-37-20200127-16:43:49-8576,runattr,,,processid,8576,
