run,type,module,name,attrname,attrvalue,value
General-51-20200224-18:11:19-22944,param,,,**.antenna.isBinomial,false,
General-79-20200224-18:12:04-21008,runattr,,,configname,General,
General-79-20200224-18:12:04-21008,runattr,,,datetime,20200224-18:12:04,
General-79-20200224-18:12:04-21008,runattr,,,experiment,General,
General-79-20200224-18:12:04-21008,runattr,,,inifile,omnetpp.ini,
General-79-20200224-18:12:04-21008,runattr,,,iterationvars,$0=5ms,
General-79-20200224-18:12:04-21008,runattr,,,iterationvarsf,5ms-,
General-79-20200224-18:12:04-21008,runattr,,,measurement,$0=5ms,
General-79-20200224-18:12:04-21008,runattr,,,network,CellularNetwork,
General-79-20200224-18:12:04-21008,runattr,,,processid,21008,
General-79-20200224-18:12:04-21008,runattr,,,repetition,79,
General-79-20200224-18:12:04-21008,runattr,,,replication,#79,
General-79-20200224-18:12:04-21008,runattr,,,resultdir,results,
General-79-20200224-18:12:04-21008,runattr,,,runnumber,79,
General-79-20200224-18:12:04-21008,runattr,,,seedset,79,
General-79-20200224-18:12:04-21008,param,,,**.nUsers,10,
General-79-20200224-18:12:04-21008,param,,,**.antenna.timeslot,1ms,
General-79-20200224-18:12:04-21008,param,,,**.antenna.lambda,5ms,
General-79-20200224-18:12:04-21008,param,,,**.antenna.successProbGroup1,0.125,
General-79-20200224-18:12:04-21008,param,,,**.antenna.successProbGroup2,0.25,
General-79-20200224-18:12:04-21008,param,,,**.antenna.successProbGroup3,0.625,
General-79-20200224-18:12:04-21008,param,,,**.antenna.isBinomial,false,
General-44-20200224-18:11:08-15480,runattr,,,configname,General,
General-44-20200224-18:11:08-15480,runattr,,,datetime,20200224-18:11:08,
General-44-20200224-18:11:08-15480,runattr,,,experiment,General,
General-44-20200224-18:11:08-15480,runattr,,,inifile,omnetpp.ini,
General-44-20200224-18:11:08-15480,runattr,,,iterationvars,$0=5ms,
General-44-20200224-18:11:08-15480,runattr,,,iterationvarsf,5ms-,
General-44-20200224-18:11:08-15480,runattr,,,measurement,$0=5ms,
General-44-20200224-18:11:08-15480,runattr,,,network,CellularNetwork,
General-44-20200224-18:11:08-15480,runattr,,,processid,15480,
General-44-20200224-18:11:08-15480,runattr,,,repetition,44,
General-44-20200224-18:11:08-15480,runattr,,,replication,#44,
General-44-20200224-18:11:08-15480,runattr,,,resultdir,results,
General-44-20200224-18:11:08-15480,runattr,,,runnumber,44,
General-44-20200224-18:11:08-15480,runattr,,,seedset,44,
General-44-20200224-18:11:08-15480,param,,,**.nUsers,10,
General-44-20200224-18:11:08-15480,param,,,**.antenna.timeslot,1ms,
